num,den,ratio,power_ratio.re,power_ratio.im,power_double_ratio.re,power_double_ratio.im
1,937,0.0010672358591248667,0.999994379303167,0.0033528140529430397,0.9999775172758528,0.006705590415583422
1,936,0.0010683760683760685,0.9999943672867267,0.003356396105794906,0.999977469210362,0.006712754400356021
1,935,0.0010695187165775401,0.9999943552317104,0.0033599858207487045,0.9999774209905687,0.006719933708814581
1,934,0.0010706638115631692,0.9999943431379529,0.0033635832224148568,0.9999773726158118,0.006727128390177167
1,933,0.0010718113612004287,0.9999943310052879,0.003367188335509292,0.9999773240854264,0.006734338493872846
1,932,0.001072961373390558,0.9999943188335483,0.0033708011848540167,0.9999772753987444,0.0067415640695428205
1,931,0.0010741138560687433,0.9999943066225662,0.0033744217953776837,0.9999772265550938,0.006748805167041563
1,930,0.001075268817204301,0.9999942943721727,0.0033780501921161633,0.9999771775537991,0.00675606183643797
1,929,0.001076426264800861,0.999994282082198,0.003381686400213122,0.9999771283941812,0.0067633341280165064
1,928,0.0010775862068965517,0.9999942697524715,0.003385330444920605,0.9999770790755574,0.006770622092278379
1,927,0.0010787486515641855,0.9999942573828214,0.0033889823515996153,0.9999770295972411,0.006777925779942691
1,926,0.0010799136069114472,0.9999942449730753,0.003392642145720711,0.9999769799585422,0.0067852452419476334
1,925,0.001081081081081081,0.9999942325230597,0.0033963098528645864,0.9999769301587667,0.0067925805294516564
1,924,0.0010822510822510823,0.9999942200326002,0.003399985498722677,0.999976880197217,0.00679993169383467
1,923,0.0010834236186348862,0.9999942075015213,0.0034036691090977554,0.9999768300731916,0.0068072987866992386
1,922,0.0010845986984815619,0.9999941949296469,0.003407360709904536,0.9999767797859852,0.006814681859871793
1,921,0.0010857763300760044,0.9999941823167995,0.0034110603271702814,0.9999767293348888,0.00682208096540384
1,920,0.0010869565217391304,0.999994169662801,0.003414767987035416,0.9999766787191894,0.00682949615557319
1,919,0.001088139281828074,0.9999941569674721,0.0034184837157541404,0.9999766279381702,0.006836927482885185
1,918,0.0010893246187363835,0.9999941442306326,0.0034222075396950517,0.9999765769911105,0.006844375000073944
1,917,0.0010905125408942203,0.9999941314521015,0.003425939485341767,0.9999765258772856,0.0068518387601036
1,916,0.001091703056768559,0.9999941186316964,0.003429679579293551,0.9999764745959667,0.006859318816169564
1,915,0.001092896174863388,0.9999941057692344,0.0034334278482659494,0.9999764231464215,0.00686681522169979
1,914,0.0010940919037199124,0.9999940928645312,0.0034371843190914215,0.9999763715279132,0.006874328030356034
1,913,0.001095290251916758,0.9999940799174016,0.003440949018719985,0.9999763197397011,0.006881857296035155
1,912,0.0010964912280701754,0.9999940669276595,0.0034447219742198567,0.9999762677810407,0.006889403072870381
1,911,0.0010976948408342481,0.9999940538951176,0.003448503212778104,0.9999762156511829,0.0068969654152326275
1,910,0.001098901098901099,0.9999940408195879,0.003452292761701296,0.999976163349375,0.006904544377731786
1,909,0.0011001100110011,0.9999940277008807,0.003456090648416161,0.9999761108748598,0.0069121400152180506
1,908,0.0011013215859030838,0.9999940145388062,0.00345989690047025,0.9999760582268762,0.006919752382783236
1,907,0.0011025358324145535,0.9999940013331726,0.003463711545532601,0.9999760054046587,0.006927381535762106
1,906,0.0011037527593818985,0.9999939880837878,0.003467534611394409,0.9999759524074375,0.006935027529733725
1,905,0.0011049723756906078,0.9999939747904582,0.0034713661259697035,0.999975899234439,0.006942690420522796
1,904,0.0011061946902654867,0.9999939614529891,0.003475206117296023,0.9999758458848846,0.006950370264201022
1,903,0.0011074197120708748,0.9999939480711851,0.0034790546135351065,0.999975792357992,0.006958067117088485
1,902,0.0011086474501108647,0.9999939346448493,0.003482911642973574,0.9999757386529745,0.006965781035755002
1,901,0.0011098779134295228,0.999993921173784,0.0034867772340236246,0.9999756847690406,0.006973512077021531
1,900,0.0011111111111111111,0.9999939076577904,0.003490651415223732,0.9999756307053947,0.0069812602979615525
1,899,0.0011123470522803114,0.9999938940966683,0.0034945342152393473,0.999975576461237,0.006989025755902479
1,898,0.0011135857461024498,0.9999938804902165,0.0034984256628636068,0.9999755220357628,0.006996808508427072
1,897,0.0011148272017837235,0.999993866838233,0.003502325787018042,0.9999754674281631,0.0070046086133748586
1,896,0.0011160714285714285,0.9999938531405143,0.0035062346167532973,0.9999754126376246,0.007012426128843567
1,895,0.0011173184357541898,0.9999938393968557,0.003510152181249851,0.9999753576633289,0.007020261113190573
1,894,0.0011185682326621924,0.9999938256070519,0.003514078509818743,0.9999753025044537,0.007028113625034345
1,893,0.0011198208286674132,0.9999938117708957,0.0035180136319023017,0.9999752471601715,0.007035983723255912
1,892,0.0011210762331838565,0.9999937978881795,0.0035219575770748844,0.9999751916296505,0.007043871467000329
1,891,0.001122334455667789,0.999993783958694,0.003525910375043616,0.9999751359120543,0.007051776915678168
1,890,0.0011235955056179776,0.9999937699822288,0.003529872055649135,0.9999750800065415,0.007059700128966996
1,889,0.0011248593925759281,0.9999937559585725,0.003533842648866343,0.9999750239122661,0.007067641166812891
1,888,0.0011261261261261261,0.9999937418875123,0.003537822184805165,0.9999749676283775,0.007075600089431942
1,887,0.0011273957158962795,0.9999937277688346,0.0035418106937113074,0.9999749111540198,0.007083576957311784
1,886,0.001128668171557562,0.9999937136023238,0.003545808205967022,0.999974854488333,0.007091571831213112
1,885,0.0011299435028248588,0.9999936993877641,0.0035498147520918837,0.9999747976304516,0.007099584772171243
1,884,0.0011312217194570137,0.9999936851249376,0.003553830362743561,0.9999747405795056,0.007107615841497655
